number,value,datetime_start,datetime_complete,duration,params_IF_binarization_threshold,params_IF_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_binarize_images,params_registration_max_features,params_registration_percentile,params_registration_target,user_attrs_corr_cell_max_corr,user_attrs_corr_image_max_corr,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state,objective,sampler,zarr_id
0,0.0,2025-04-02 16:54:13.821395,2025-04-02 16:54:16.926330,0 days 00:00:03.104935,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
1,0.0,2025-04-02 16:54:16.970197,2025-04-02 16:54:17.417626,0 days 00:00:00.447429,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
2,0.0,2025-04-02 16:54:17.424399,2025-04-02 16:54:18.056985,0 days 00:00:00.632586,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
3,0.0,2025-04-02 16:54:18.063695,2025-04-02 16:54:18.475635,0 days 00:00:00.411940,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
4,0.0,2025-04-02 16:54:18.484777,2025-04-02 16:54:18.866284,0 days 00:00:00.381507,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
5,0.0,2025-04-02 16:54:18.873414,2025-04-02 16:54:19.235707,0 days 00:00:00.362293,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
6,0.0,2025-04-02 16:54:19.242779,2025-04-02 16:54:19.645366,0 days 00:00:00.402587,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
7,0.0,2025-04-02 16:54:19.652579,2025-04-02 16:54:20.718280,0 days 00:00:01.065701,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
8,0.0032802987178521493,2025-04-02 16:54:20.729199,2025-04-02 16:54:24.090047,0 days 00:00:03.360848,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,True,100000,0.9,IF,-0.8757719993591309,-0.05926858261227608,3.0,0.21428571428571427,14.0,11.0,,,0.00971766747534275,0.015308060683310032,"[[ 3.67530514e-03  1.77416919e-03  4.28736298e+02]
 [-1.77416919e-03  3.67530514e-03  2.91762944e+02]]",3.0,0.8341279625892639,0.3206288814544678,14.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
9,0.0,2025-04-02 16:54:24.096845,2025-04-02 16:54:24.339144,0 days 00:00:00.242299,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
10,0.0,2025-04-02 16:54:24.344635,2025-04-02 16:54:26.739277,0 days 00:00:02.394642,0.0,4.970591809833413,100.0,False,0.0,5.0,0.008249571940708715,0.005321754400154673,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
11,0.0,2025-04-02 16:54:26.745466,2025-04-02 16:54:28.710847,0 days 00:00:01.965381,0.0,4.217937583507684,76.83870647559654,False,0.013055138171543615,4.601615930540327,0.0028526137718095593,0.08959908475249931,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
12,0.0,2025-04-02 16:54:28.718077,2025-04-02 16:54:31.073381,0 days 00:00:02.355304,0.0,4.021977546222892,81.56650112594811,False,0.17122313826573446,4.1696772798157875,0.020048320580669923,0.061475889590367906,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
13,0.0007741425453591385,2025-04-02 16:54:31.079481,2025-04-02 16:54:36.806355,0 days 00:00:05.726874,0.0624345533674643,4.389317190868448,70.63602613207003,False,0.09778169989810302,4.506587103946041,0.02107873220190501,0.0429532532142049,True,100000,0.9,IF,0.01704173907637596,0.014579679510956556,7647.0,0.06725475365428928,113702.0,106055.0,,,-0.050475917756557465,0.011510599672083795,"[[ 1.32489178e-01  7.07735177e-01 -1.78074927e+01]
 [-7.07735177e-01  1.32489178e-01  6.61906098e+02]]",81170.0,0.2304600328207016,0.024096834950854813,40179.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
14,-0.013241661855807671,2025-04-02 16:54:36.814197,2025-04-02 16:54:42.418221,0 days 00:00:05.604024,0.017081419814914612,3.9882915880880807,69.5782016706189,False,0.10708512682182587,4.295735913175727,0.015032559934606305,0.08007181808378594,True,100000,0.9,IF,0.2569850981235504,-0.013575270771980286,35.0,0.38461538461538464,91.0,56.0,,,0.12654608488082886,-0.034428320825099945,"[[-3.15665287e-03  9.82972034e-03  4.49942011e+02]
 [-9.82972034e-03 -3.15665287e-03  7.07301483e+02]]",58.0,0.3976489305496216,0.19481272995471954,68.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
15,0.0,2025-04-02 16:54:42.426034,2025-04-02 16:54:45.425986,0 days 00:00:02.999952,0.1389455521724803,5.0,73.33584649462108,False,0.0,5.0,0.003625739661208853,0.004239601925962866,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
16,0.0,2025-04-02 16:54:45.434292,2025-04-02 16:54:46.861376,0 days 00:00:01.427084,1.0,1.0809619466072322,100.0,True,0.7866504754992494,1.3398845869462872,0.2,0.19801512389061168,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
17,0.0,2025-04-02 16:54:46.868144,2025-04-02 16:54:49.387712,0 days 00:00:02.519568,0.7002172123548123,2.5450218267920106,1.0,True,0.0,0.0,0.16006278017089304,0.1607786849176342,True,100000,0.9,IF,,0.27361154556274414,0.0,0.0,6.0,6.0,,,,0.7407650947570801,"[[ 2.37322554e-03  4.29635656e-04  8.39651885e+02]
 [-4.29635656e-04  2.37322554e-03  6.06285811e+02]]",0.0,,0.9160524010658264,6.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
18,0.0,2025-04-02 16:54:49.395647,2025-04-02 16:54:51.071088,0 days 00:00:01.675441,1.0,0.11643979721070594,27.930659256303986,True,0.0,0.0,0.19999999999999998,0.19999999999999998,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
19,0.0,2025-04-02 16:54:51.077929,2025-04-02 16:54:52.511916,0 days 00:00:01.433987,0.0,5.0,1.0,False,0.0,5.0,0.2,0.0,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
20,0.0,2025-04-02 16:54:52.518674,2025-04-02 16:54:53.990229,0 days 00:00:01.471555,0.0,5.0,96.39225674483473,False,0.0,5.0,0.0,0.16735299166423653,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
21,0.0,2025-04-02 16:54:53.998448,2025-04-02 16:54:55.431305,0 days 00:00:01.432857,1.0,2.0792352727410806,33.99884434675812,False,1.0,0.0,0.19999999999999998,0.0,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
22,0.0,2025-04-02 16:54:55.438170,2025-04-02 16:54:56.911412,0 days 00:00:01.473242,0.3642463464494597,5.0,39.47531630237548,True,1.0,4.999999999999999,0.0,0.2,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
23,0.0,2025-04-02 16:54:56.918295,2025-04-02 16:54:58.688664,0 days 00:00:01.770369,0.0,5.0,37.19760288248929,True,0.0,5.0,0.0,0.0,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
24,0.0,2025-04-02 16:54:58.697391,2025-04-02 16:55:00.193311,0 days 00:00:01.495920,0.0,5.0,16.843840109929662,True,0.0,0.0,0.0,0.12970815203574362,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
25,0.0,2025-04-02 16:55:00.201164,2025-04-02 16:55:02.037455,0 days 00:00:01.836291,1.0,0.0,91.11545635620386,True,1.0,5.0,0.19999999999999998,0.13185945715258124,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
26,0.0,2025-04-02 16:55:02.044478,2025-04-02 16:55:03.649394,0 days 00:00:01.604916,0.4011698880700841,4.999999999999999,78.31412521426998,False,0.0,5.0,0.0,0.06753686177095426,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
27,0.0,2025-04-02 16:55:03.657929,2025-04-02 16:55:05.584207,0 days 00:00:01.926278,0.0,0.0,68.67001851524816,False,1.0,0.0,0.2,0.0008740836116948616,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
28,0.0,2025-04-02 16:55:05.591502,2025-04-02 16:55:07.387317,0 days 00:00:01.795815,0.0,1.9131212285068213,1.0,False,1.0,5.0,0.19999999999999998,0.2,True,100000,0.9,IF,,,,,,,,,,,,,,,,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
29,0.0061483932254107095,2025-04-02 16:55:07.394468,2025-04-02 16:56:39.381472,0 days 00:01:31.987004,0.0,0.0,87.4176911369797,False,0.0,0.0,0.0,0.11863109317139027,True,100000,0.9,IF,0.03692225366830826,0.02490144781768322,1700.0,0.2717391304347826,6256.0,4556.0,,,0.03093693219125271,0.022626087069511414,"[[-8.03423328e-03  8.45717419e-02  4.21491073e+02]
 [-8.45717419e-02 -8.03423328e-03  5.46952754e+02]]",1779.0,0.11294033378362656,0.08590854704380035,6177.0,COMPLETE,iou-single-objective,GPSampler,cell-line-0028-bd18455
