number,value,datetime_start,datetime_complete,duration,params_FISH_binarization_threshold,params_FISH_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
0,0.0,2025-03-17 17:18:05.347767,2025-03-17 17:18:05.655708,0 days 00:00:00.307941,0.3745401188473625,4.75357153204958,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,,,,,,,,,,,,,,COMPLETE
1,0.2581449095228153,2025-03-17 17:18:05.689368,2025-03-17 17:18:09.263991,0 days 00:00:03.574623,0.7080725777960455,0.10292247147901223,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,2.0,0.4,5.0,3.0,,,-1.0,0.6453622738070383,"[[-2.43130154e-03  3.36463229e-03  6.35237950e+02]
 [-3.36463229e-03 -2.43130154e-03  1.03037527e+02]]",2.0,1.0,1.0000000000000002,5.0,COMPLETE
2,0.10324549182135026,2025-03-17 17:18:09.269654,2025-03-17 17:18:12.283391,0 days 00:00:03.013737,0.43194501864211576,1.4561457009902097,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,8047.0,0.14961420470391373,53785.0,45738.0,,,0.32273413677506735,0.6900781381398439,"[[ 1.22167591e+00  9.84590428e-04 -7.33959454e-01]
 [-9.84590428e-04  1.22167591e+00  3.16623258e+00]]",8961.0,1.0000000000000056,0.999999999998612,52871.0,COMPLETE
3,0.0,2025-03-17 17:18:12.294076,2025-03-17 17:18:12.355284,0 days 00:00:00.061208,0.5142344384136116,2.9620728443102124,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,,,,,,,,,,,,,,COMPLETE
4,0.0,2025-03-17 17:18:12.360937,2025-03-17 17:18:12.403989,0 days 00:00:00.043052,0.3046137691733707,0.48836057003191935,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,,,,,,,,,,,,,,COMPLETE
5,0.0,2025-03-17 17:18:12.408876,2025-03-17 17:18:12.458126,0 days 00:00:00.049250,0.662522284353982,1.5585553804470549,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,,,,,,,,,,,,,,COMPLETE
6,0.0,2025-03-17 17:18:12.461964,2025-03-17 17:18:13.944926,0 days 00:00:01.482962,0.5978999788110851,4.609371175115584,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,0.0,0.0,1.0,1.0,,,,0.4121361187628602,"[[ 2.38607418e-03  1.53530606e-03  4.32912064e+01]
 [-1.53530606e-03  2.38607418e-03  5.85595801e+02]]",0.0,,1.0,1.0,COMPLETE
7,0.2430241701500051,2025-03-17 17:18:13.952506,2025-03-17 17:18:23.629464,0 days 00:00:09.676958,0.3567533266935893,1.4046725484369038,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,43691.0,0.34509968089475845,126604.0,82913.0,,,0.4106292368411879,0.7042144157302704,"[[ 1.21776057e+00  5.14734179e-03 -2.95991286e-01]
 [-5.14734179e-03  1.21776057e+00  5.74968378e+00]]",48929.0,1.0000000000000153,1.0000000000038307,121366.0,COMPLETE
8,0.0,2025-03-17 17:18:23.642835,2025-03-17 17:18:23.762147,0 days 00:00:00.119312,0.005522117123602399,4.0773071422741705,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,,,,,,,,,,,,,,COMPLETE
9,-3.5356147817722985e-05,2025-03-17 17:18:23.766761,2025-03-17 17:18:25.168259,0 days 00:00:01.401498,0.6232981268275579,1.654490124263246,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,1.0,0.00033433634236041456,2991.0,2990.0,,,,-0.10575023812280945,"[[ 1.25671665e+00 -2.49092128e+00 -4.73024774e+02]
 [ 2.49092128e+00  1.25671665e+00 -1.47762856e+03]]",58.0,,1.0000000000001363,2934.0,COMPLETE
10,0.0,2025-03-17 17:18:25.173577,2025-03-17 17:18:26.150876,0 days 00:00:00.977299,0.9679380298865652,0.029985914779086187,55.747924529170206,True,0.5167229806570612,2.4322115633745964,0.13037331015563566,0.04394194573392496,,,,,,,,,,,,,,COMPLETE
11,0.0,2025-03-17 17:18:26.157877,2025-03-17 17:18:27.212392,0 days 00:00:01.054515,0.8811703997690679,0.8521767230273971,94.63516227739763,True,0.4818963296633295,0.11389806391162005,0.04392488843781406,0.17810800597380994,,,,,,,,,,,,,,COMPLETE
12,0.0,2025-03-17 17:18:27.217501,2025-03-17 17:18:29.134228,0 days 00:00:01.916727,0.18484975639429146,2.422589811458844,55.65059776747638,True,0.6168101067430677,1.4610056487526417,0.05265066794064753,0.13790732022412838,0.0,0.0,5.0,5.0,,,,0.24908985116640445,"[[-3.73389346e-03 -4.61446585e-04  2.75521463e+02]
 [ 4.61446585e-04 -3.73389346e-03  5.23959454e+02]]",0.0,,1.0000000000000002,5.0,COMPLETE
13,0.06478691033669154,2025-03-17 17:18:29.148426,2025-03-17 17:18:30.848043,0 days 00:00:01.699617,0.7719240123800711,0.8581966945679633,71.48580241912774,True,0.2807825741528728,3.0559726689545545,0.010334021997693912,0.03684131156111221,1.0,0.3333333333333333,3.0,2.0,,,,0.19436073101007462,"[[ 3.27207039e-03 -4.27131072e-03  6.28720721e+02]
 [ 4.27131072e-03  3.27207039e-03  1.07607908e+02]]",2.0,,1.0000000000000002,2.0,COMPLETE
14,-0.0,2025-03-17 17:18:30.857036,2025-03-17 17:18:37.333996,0 days 00:00:06.476960,0.21822822137399445,2.350825663168662,99.77357144554985,True,0.3639804821656291,0.018124333460429742,0.10018922667745273,0.10288404455390264,0.0,0.0,1.0,1.0,,,,-1.0,"[[ 1.68127622e-03 -1.17198418e-03  5.55992768e+02]
 [ 1.17198418e-03  1.68127622e-03  3.26722236e+02]]",0.0,,1.0,1.0,COMPLETE
15,0.0,2025-03-17 17:18:37.347675,2025-03-17 17:18:38.848544,0 days 00:00:01.500869,0.7777116035069411,0.09904240956896676,40.598089238987754,True,0.7155453495719128,1.8164535705030826,0.08743736758304743,0.05277612929065744,0.0,0.0,1.0,1.0,,,,,"[[ 4.05064211e-04 -1.14753968e-04  6.75025857e+02]
 [ 1.14753968e-04  4.05064211e-04  1.47826373e+01]]",0.0,,,1.0,COMPLETE
16,0.0,2025-03-17 17:18:38.858006,2025-03-17 17:18:40.793315,0 days 00:00:01.935309,0.49305533918772687,3.202139292383121,75.8573573451697,True,0.00474011965308907,0.7190004434253967,0.00117746379801148,0.11650217644880664,,,,,,,,,,,,,,COMPLETE
17,0.0,2025-03-17 17:18:40.799665,2025-03-17 17:18:41.523370,0 days 00:00:00.723705,0.03414803748560302,0.9807964304535695,65.93934449776083,True,0.6482622044071326,3.3488546179155136,0.03639001870811411,0.1628034227780408,,,,,,,,,,,,,,COMPLETE
18,0.0,2025-03-17 17:18:41.637164,2025-03-17 17:18:42.567459,0 days 00:00:00.930295,0.7951628535178396,1.8227727369930558,43.662922931465175,True,0.37103397959962914,1.9454300268488618,0.12856948611811106,0.032811107195445915,,,,,,,,,,,,,,COMPLETE
19,0.0,2025-03-17 17:18:42.573758,2025-03-17 17:18:46.357527,0 days 00:00:03.783769,0.29363528329077393,0.5266137935517287,90.3630577228187,True,0.14765501442789375,3.615017908113556,0.02362081397019715,0.06874792664518886,,,,,,,,,,,,,,COMPLETE
20,0.0,2025-03-17 17:18:46.366973,2025-03-17 17:18:48.582863,0 days 00:00:02.215890,0.12213316408747249,1.196861733250791,88.07057879291894,True,0.5138811575365112,2.0087423175667123,0.0570349694394586,0.19585471212678512,,,,,,,,,,,,,,COMPLETE
