number,value,datetime_start,datetime_complete,duration,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_IMS_binarization_threshold,params_IMS_gaussian_sigma,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
0,0.0,2025-03-25 15:51:40.804454,2025-03-25 15:51:43.324472,0 days 00:00:02.520018,16.445845403801215,True,0.8661761457749352,3.005575058716044,0.031198904067240532,0.011616722433639893,0.3745401188473625,4.75357153204958,,,,,,,,,,,,,,COMPLETE
1,0.0,2025-03-25 15:51:43.390450,2025-03-25 15:51:43.486579,0 days 00:00:00.096129,22.02157195714934,True,0.3042422429595377,2.6237821581611893,0.03636499344142013,0.03668090197068676,0.7080725777960455,0.10292247147901223,,,,,,,,,,,,,,COMPLETE
2,0.0,2025-03-25 15:51:43.490946,2025-03-25 15:51:45.055194,0 days 00:00:01.564248,29.922320204986598,True,0.7851759613930136,0.9983689107917987,0.07327236865873835,0.0912139968434072,0.43194501864211576,1.4561457009902097,1.0,0.5,2.0,1.0,,,,1.0,"[[-3.52623705e-03 -2.34069195e-03  4.84476615e+02]
 [ 2.34069195e-03 -3.52623705e-03  1.98750092e+02]]",1.0,,1.0,2.0,COMPLETE
3,0.0,2025-03-25 15:51:45.060128,2025-03-25 15:51:45.102153,0 days 00:00:00.042025,17.88188824504186,False,0.9656320330745594,4.041986740582305,0.013010318597055905,0.18977710745066667,0.5142344384136116,2.9620728443102124,,,,,,,,,,,,,,COMPLETE
4,0.0,2025-03-25 15:51:45.106645,2025-03-25 15:51:45.250001,0 days 00:00:00.143356,13.081785249633104,True,0.9093204020787821,1.2938999080000846,0.09903538202225404,0.006877704223043679,0.3046137691733707,0.48836057003191935,,,,,,,,,,,,,,COMPLETE
5,0.0,2025-03-25 15:51:45.254565,2025-03-25 15:51:46.347491,0 days 00:00:01.092926,19.300591097027176,False,0.9394989415641891,4.474136752138244,0.19391692555291173,0.15502656467222292,0.662522284353982,1.5585553804470549,1.0,0.07142857142857142,14.0,13.0,,,,0.025168803480231643,"[[ 1.24854895e-02  1.58529471e-02  3.47683607e+02]
 [-1.58529471e-02  1.24854895e-02  1.48966054e+02]]",1.0,,1.0000000000000013,14.0,COMPLETE
6,0.0,2025-03-25 15:51:46.352615,2025-03-25 15:51:47.484791,0 days 00:00:01.132176,5.477501602143269,False,0.2713490317738959,4.143687545759647,0.06506606615265287,0.07773545793789641,0.5978999788110851,4.609371175115584,1.0,0.0008802816901408451,1136.0,1135.0,,,,-0.09221150399474949,"[[-1.32001797e-01 -1.32217255e-01  2.30662284e+02]
 [ 1.32217255e-01 -1.32001797e-01  1.03502188e+01]]",1.0,,1.0000000000000315,1136.0,COMPLETE
7,0.0,2025-03-25 15:51:47.490058,2025-03-25 15:51:48.930248,0 days 00:00:01.440190,80.41750109464992,True,0.7722447692966574,0.993578407670862,0.014910128735954166,0.19737738732010346,0.3567533266935893,1.4046725484369038,0.0,0.0,2.0,2.0,,,,1.0,"[[ 2.62577535e-03 -2.22589021e-03  5.41654794e+02]
 [ 2.22589021e-03  2.62577535e-03  9.36819104e+01]]",0.0,,1.0,2.0,COMPLETE
8,0.040632365914139754,2025-03-25 15:51:48.935715,2025-03-25 15:51:50.642072,0 days 00:00:01.706357,77.35576432190862,False,0.11586905952512971,4.315517129377968,0.014808930346818072,0.07169314570885453,0.005522117123602399,4.0773071422741705,21536.0,0.7475960703995557,28807.0,7271.0,,,0.054350694877815,0.2737760003029913,"[[-4.26870782e-03 -6.00299308e-01  2.15773572e+02]
 [ 6.00299308e-01 -4.26870782e-03  7.03387251e+01]]",21669.0,1.0000000000002447,1.000000000000417,28674.0,COMPLETE
9,0.0,2025-03-25 15:51:50.648788,2025-03-25 15:51:50.684971,0 days 00:00:00.036183,33.19314888064796,False,0.8872127425763265,2.3610746258097466,0.1459212356676128,0.12751149427104264,0.6232981268275579,1.654490124263246,,,,,,,,,,,,,,COMPLETE
10,-0.0005277277775966583,2025-03-25 15:51:50.691071,2025-03-25 15:51:52.007862,0 days 00:00:01.316791,94.44523374489243,False,0.015438396317877814,4.880392866566493,0.14303392243935906,0.060112964609869195,0.020559856083561614,3.5306682597786487,35.0,0.0030509065550906557,11472.0,11437.0,,,-0.1729740875596818,-0.3690481173748468,"[[-1.35274214e-02  4.20318695e-01 -1.72096701e+01]
 [-4.20318695e-01 -1.35274214e-02  2.80327018e+02]]",8283.0,1.0000000000000007,1.0000000000004436,3224.0,COMPLETE
11,0.0,2025-03-25 15:51:52.015461,2025-03-25 15:51:52.059298,0 days 00:00:00.043837,61.720001265712796,True,0.5749965020928962,3.130976580662757,0.04377444343263437,0.00889664643491121,0.9469618763901492,4.976474803049228,,,,,,,,,,,,,,COMPLETE
12,0.0,2025-03-25 15:51:52.065010,2025-03-25 15:51:52.121593,0 days 00:00:00.056583,52.29775740076752,True,0.0349946367745861,3.3840902904780745,0.014514771104707001,0.048161587500182027,0.021775744067023872,3.998713320139206,,,,,,,,,,,,,,COMPLETE
13,0.0,2025-03-25 15:51:52.127063,2025-03-25 15:51:52.245582,0 days 00:00:00.118519,71.48580241912774,False,0.5643700126830633,2.060903387644608,0.05098980383998857,0.13217114505845734,0.277033630712734,3.9639949546863926,,,,,,,,,,,,,,COMPLETE
14,0.0,2025-03-25 15:51:52.251427,2025-03-25 15:51:53.406989,0 days 00:00:01.155562,43.81985984244666,False,0.40480038014993647,3.529001584363722,0.0026280631435616347,0.03071154691406819,0.18896107882168742,2.777459525821401,0.0,0.0,1.0,1.0,,,,,"[[-3.55183368e-05 -4.44314920e-04  2.88066421e+02]
 [ 4.44314920e-04 -3.55183368e-05  1.07912028e+02]]",1.0,,,0.0,COMPLETE
